portal,joinKeys,tableSize,leftTableDataset,leftTableID,leftTableEncoding,leftColumnIndex,rightTableDataset,rightTableID,rightTableEncoding,rightColumnIndex,scoreThreshold,isSameDataset,hasSameColumnName,expRatio,Join Annotation***,Domain/Topic,Data Type of Join Columns**
CA,key-key,10<r<100,https://open.canada.ca/data/en/dataset/4d5e6269-0b88-4a6f-a8ef-838053187990,4c51267d-fe58-43c3-b3bf-baf35295879c,ascii,0,https://open.canada.ca/data/en/dataset/b74b93ff-4b25-4ee5-b450-77c6269e3f94,7d4af777-9db2-447a-babc-77ee225691ba,ascii,0,1,FALSE,TRUE,1,1,Tax,province
CA,key-key,10<r<100,https://open.canada.ca/data/en/dataset/d99f9752-0805-4920-968f-b8f599ddc62b,11980e8d-f5ec-43ce-add9-1a7ae9eb4830,Windows-1252,0,https://open.canada.ca/data/en/dataset/b54f4b54-3e7b-474a-a1fa-e57d025f092b,b31bcc84-9ebf-4855-b4f9-4a4a4d0c811c,Windows-1252,0,1,FALSE,TRUE,1,2,Tax,categorical string/char code
CA,key-key,10<r<100,https://open.canada.ca/data/en/dataset/b74b93ff-4b25-4ee5-b450-77c6269e3f94,12a2ad1b-1b0d-4cec-bc54-2bce48f2dd6b,ascii,0,https://open.canada.ca/data/en/dataset/6384915d-81f3-42d0-8d8f-714513273aa1,c6c3faee-664b-44bb-8077-51c4adfec0d8,ascii,0,1,FALSE,TRUE,1,2,Tax,province
CA,key-key,10<r<100,https://open.canada.ca/data/en/dataset/f5926558-fbe0-4185-a065-f81896ff99b8,db2cb25e-ea60-4fb2-a68c-614bc6fca419,cp775,0,https://open.canada.ca/data/en/dataset/59c45960-fa8a-4757-93f0-81e965154b7e,f4948969-8d16-4c09-87b6-95e070e034c4,cp775,0,1,FALSE,TRUE,1,1,Tax,province
CA,key-key,10<r<100,https://open.canada.ca/data/en/dataset/067ae4fd-1b7e-4507-a8b7-8fc09923c3b6,f566117e-0daf-4d8d-a9e9-da6be023d6d3,windows-1250,0,https://open.canada.ca/data/en/dataset/be1860c7-06a1-450d-af15-21c1669b2bc6,fa778510-9d55-4c8b-81df-e008c8a0ad09,Windows-1252,0,1,FALSE,FALSE,1,1,TFSA statistics,categorical string/char code
CA,key-key,10<r<100,https://open.canada.ca/data/en/dataset/7cdb0844-70c4-403b-b6c4-7ff60b14f4b0,2136a5c4-ec9d-4a9a-9828-7cd1e07c2bd8,ascii,0,https://open.canada.ca/data/en/dataset/c487eab7-389b-4892-b03b-e27fcaa045c3,c3b7d585-f8ca-446b-a1fa-c78f8eccd45a,ascii,0,1,FALSE,TRUE,1,1,SR&ED,categorical string/char code
CA,key-key,10<r<100,https://open.canada.ca/data/en/dataset/7cdb0844-70c4-403b-b6c4-7ff60b14f4b0,0e472b35-7017-4cd0-8ac1-5f431714ac7f,ascii,0,https://open.canada.ca/data/en/dataset/c487eab7-389b-4892-b03b-e27fcaa045c3,3068ce9e-314c-4b1f-8270-df1bd26bae6b,ascii,0,1,FALSE,TRUE,1,1,SR&ED,categorical string/char code
CA,key-key,10<r<100,https://open.canada.ca/data/en/dataset/f5926558-fbe0-4185-a065-f81896ff99b8,734a5e0a-4293-4f6a-a6ea-6388eb774e32,Windows-1252,4,https://open.canada.ca/data/en/dataset/f5926558-fbe0-4185-a065-f81896ff99b8,a4b01afd-f57f-45c8-a7ae-20fbdd0d4019,Windows-1252,5,1,TRUE,FALSE,1,1,GST/HST Statistics,integer
CA,key-key,10<r<100,https://open.canada.ca/data/en/dataset/4eb3e825-5b0f-45a3-8b8b-355188d24b71,2691c71c-41d9-484f-b609-21338d2eb7e6,ascii,0,https://open.canada.ca/data/en/dataset/e19082df-fd3e-43b0-83c7-78e5030667e2,8cdf30ae-8aa0-4a9c-8376-b95410bb4985,UTF-8-SIG,0,0.9,FALSE,FALSE,0.927272727,0,Animal vs Health,incremental integer
CA,key-key,10<r<100,https://open.canada.ca/data/en/dataset/d99f9752-0805-4920-968f-b8f599ddc62b,8619324e-e36e-4a0e-b53b-ab361be9c5e8,ascii,0,https://open.canada.ca/data/en/dataset/42a82258-c04f-4aea-b819-4d819bb1f607,ddebc966-ec81-44a1-b522-26eac4628b54,ascii,0,0.9,FALSE,TRUE,0.9375,1,Tax,province
CA,key-key,10<r<100,https://open.canada.ca/data/en/dataset/2af1a7f4-431e-41c7-8c67-fe2348ccf031,02c00bd0-19ac-4aca-9328-e52ed362e5d8,Windows-1252,0,https://open.canada.ca/data/en/dataset/2af1a7f4-431e-41c7-8c67-fe2348ccf031,30ccc2b5-7dd3-40b1-aa8b-8ca0df0ac3d7,Windows-1252,0,0.9,TRUE,TRUE,0.989361702,1,COVID-19,categorical string/char code
CA,key-key,10<r<100,https://open.canada.ca/data/en/dataset/2281a418-31ea-4f92-84fc-11f4f625ca2f,0249e7fe-fa35-4bfa-8b2c-9fe9a194f93b,Windows-1252,0,https://open.canada.ca/data/en/dataset/42a82258-c04f-4aea-b819-4d819bb1f607,755db99a-b272-4624-9d9f-c3f6b0acb854,Windows-1252,0,0.9,FALSE,TRUE,0.904761905,1,Tax,categorical string/char code
CA,key-key,10<r<100,https://open.canada.ca/data/en/dataset/2550aaa6-c631-4316-9128-99ff55714149,45fb27f3-3718-4417-9772-8ab1b7a7ca6c,Windows-1252,0,https://open.canada.ca/data/en/dataset/2550aaa6-c631-4316-9128-99ff55714149,a5b5c9e9-095f-4bc5-a09a-7f01b826291f,windows-1250,0,1,TRUE,FALSE,1,1,TFSA statistics,categorical string/char code
