tableID,datasetID,publisher,desc
2e69be84-d9e8-4543-a5d2-8c43dff56892,5289973c-6650-4365-a1eb-9e5359ea52fc,California Department of Public Health,"This dataset contains percent preterm and very preterm live births by race/ethnic group of mother. Preterm births are all live births less than 37 weeks of gestation. Very preterm births are all live births less than 32 weeks of gestation. Important growth and development occur throughout pregnancy, especially in the final months and weeks. There is a higher risk of serious disability or death the earlier a baby is born. Gestational age is based on obstetric estimate at delivery (OE). Data includes births with gestational age of 17-47 weeks.  Note: The race and ethnic groups in this table utilize eight mutually exclusive race and ethnicity categories. These categories are Hispanic and the following Non-Hispanic categories of Multi-Race, African-American, American Indian (includes Eskimo and Aleut), Asian, Pacific Islander (includes Hawaiian), White (includes Other race) and Unknown (includes refused to state and missing).                                                                                                 

Data should not be compared to other data where gestational age is based on the date of last normal menses (LMP) and not OE. The National Center for Health Statistics recently transitioned to using an OE-based gestational age measure due to increasing evidence  of its greater validity compared with the LMP-based measure. (http://www.cdc.gov/nchs/data/nvsr/nvsr64/nvsr64_05.pdf)"
8ec4186c-1d9e-411b-b1cf-f9c03d0d3e77,2601979c-c85f-4a04-b517-696d3c5ea03f,gisnvda,{{default.description}}
466ecce6-2f11-4d7d-ab29-93f06889f2d6,39db1396-67a4-43f3-84c1-464feceb5088,California Ocean Protection Council,"The South Coast Lobster Research Group (SCLRG) was formed in 2011 in response to interest in how MPAs may affect the abundance, size, and behavior of the California spiny lobster (Panulirus interruptus). The SCLRG is a partnership between scientists, managers, stakeholders, and volunteers, and encompasses personnel from the San Diego State University (SDSU), Scripps Institution of Oceanography (SIO), the San Diego Oceans Foundation (SDOF), the California Department of Fish and Wildlife (CDFW), and the California Lobster Trap Fishermen’s Association (CLTFA). We identified five sites in the South Coast Region at which to work, each with a newly established MPA: (1) the Cabrillo SMR in San Diego, (2) the South La Jolla SMR in La Jolla, (3) Swami’s SMCA in Encinitas, (4) the Laguna Beach SMR in Laguna Beach, and (5) the Pt. Vicente SMCA in Palos Verdes. Inside and outside of MPAs at each site, we conducted daytime SCUBA-based transect surveys of rocky reefs (5 – 15 m depth) between May and September of 2012 and 2013. The number of lobsters in four different size categories, as well depth, relief, and benthic habitat features (biogenic and non-biogenic) were recorded on each transect."
8f3ca137-63ac-420b-8ee1-54352dd08ca9,a6b527f1-7457-4e77-8eb0-c1956e1df770,data.austintexas.gov,"The Parks and Recreation Department offers a wide variety of programs for youth and teens, adults and 50+/seniors at our Community Recreation Centers."
a5edc7d1-04dc-4530-86f4-95f6898e84cb,b5d32574-0509-4ca6-9d46-f9937400e87d,data.cityofnewyork.us,"Preliminary Class Size Report School K-8 Average Class Size 
General Education and Integrated Co-Teaching (ICT) classes and course sections with more than 100 students or fewer than seven students are excluded from this report, as are self-contained courses with fewer than two students."
a765032c-3fb9-4d31-a4c2-016ae4939e34,6f8f8243-99fc-41e5-8703-0a108fdad427,California Department of Fish and Wildlife,"For more information, see the Terrestrial Biodiversity Summary Factsheet at https://nrm.dfg.ca.gov/FileHandler.ashx?DocumentID=150831. The user can view a list of species potentially present in each hexagon in the ACE online map viewer https://map.dfg.ca.gov/ace/. Note that the names of some rare or endemic species, such as those at risk of over-collection, have been suppressed from the list of species names per hexagon, but are still included in the species counts.The California Department of Fish and Wildlife''s (CDFW) Areas of Conservation Emphasis (ACE) is a compilation and analysis of the best-available statewide spatial information in California on biodiversity, rarity and endemism, harvested species, significant habitats, connectivity and wildlife movement, climate vulnerability, climate refugia, and other relevant data (e.g., other conservation priorities such as those identified in the State Wildlife Action Plan (SWAP), stressors, land ownership). ACE addresses both terrestrial and aquatic data. The ACE model combines and analyzes terrestrial information in a 2.5 square mile hexagon grid and aquatic information at the HUC12 watershed level across the state to produce a series of maps for use in non-regulatory evaluation of conservation priorities in California. The model addresses as many of CDFWs statewide conservation and recreational mandates as feasible using high quality data sources. High value areas statewide and in each USDA Ecoregion were identified. The ACE maps and data can be viewed in the ACE online map viewer, or downloaded for use in ArcGIS. For more detailed information see https://www.wildlife.ca.gov/Data/Analysis/ACEand https://nrm.dfg.ca.gov/FileHandler.ashx?DocumentID=24326."
8cf41ca6-c770-4995-9af9-22f3966ff643,9476a79a-6170-4e14-8207-6495a040bab2,opendata.maryland.gov,2018 Vet Technicians
d08e99f5-1ade-4099-9c71-c0dc37e65969,9a1252c2-c7c6-428f-af45-2b22e71dbf69,"Lake County, Illinois",<div><b><a href='https://s3.amazonaws.com/lakecountygis-public/political_boundaries/statrep2012.zip' target='_blank'>Download In State Plane Projection Here</a>. </b><br /></div><div><br /></div>Boundaries for electing representatives to the Illinois House as established by that body.<br /><br /><span style='font-weight: bold;'>Update Frequency:<br /></span>This dataset is updated on a <span style='font-weight: bold;'>weekly</span> basis.
340500a3-8b67-4cef-a24b-0980b92c2dd8,d5f25b70-49af-4a46-80c3-2d1e73c8478f,data.sfgov.org,"The Controller's Office's City Services Auditor (CSA) Division has worked with the Department of Public Works (DPW) to develop maintenance standards for streets and sidewalks and schedules and inspect for compliance since July 2004. This data file contains street and sidewalk evaluation results since 7/1/2013 under the new FY12 standards.  Older evaluation results are also available on DataSF but are not comparable due to changes in the way the standards are calculated.You can also access the annual reports in PDF at ""Street Maintenance"" section of http://sfcontroller.org/index.aspx?page=49"
d439c8fa-6c57-4141-9185-b7dd4184b092,a134d4d4-7687-467d-a6cf-632147fc19ae,data.cdc.gov,This data set is from 3 surveys conducted in two districts in western Kenya following the scale up of insecticide treated nets and the implementation of IRS in one of the districts.
